"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D320307","D320308","D3203082","D3203085","D3203086","D320309","D320310","D3203102","D3203103","D3203104","D3203105","D3203106","D3203107","D3203108","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320409"
"調査年 コード","調査年","地域 コード","地域","/項目","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D3203082_道路橋りょう費（市町村財政）【千円】","D3203085_都市計画費（市町村財政）【千円】","D3203086_住宅費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】","D3203103_中学校費（市町村財政）【千円】","D3203104_高等学校費（市町村財政）【千円】","D3203105_特別支援学校費（市町村財政）【千円】","D3203106_幼稚園費（市町村財政）【千円】","D3203107_社会教育費（市町村財政）【千円】","D3203108_保健体育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320409_公債費（市町村財政）（性質別歳出内訳）【千円】"
"2021100000","2021年度","13111","東京都 大田区","","6,086,817","25,063,047","5,990,872","13,702,025","1,268,793","4,399,376","33,095,506","11,147,625","5,385,719","0","130,966","0","3,458,672","5,966,984","0","2,553,169","41,088,957","60,099,019","4,973,380","117,385,910","17,397,502","27,233,364","0","0","2,553,130"
"2021100000","2021年度","13112","東京都 世田谷区","","2,836,809","32,221,136","6,481,132","18,762,583","1,500,329","702,885","47,036,257","10,490,037","8,901,333","0","0","924,948","4,566,418","10,909,981","131,371","12,127,372","55,897,714","73,043,685","452,353","119,195,521","21,391,322","31,758,464","131,371","0","12,115,461"
"2021100000","2021年度","13113","東京都 渋谷区","","1,610,116","7,801,463","1,706,763","4,737,307","479,052","1,189,741","11,335,575","3,256,185","945,302","0","0","255,294","2,445,406","2,072,439","0","954,755","18,550,698","29,271,281","420,412","27,260,515","7,794,345","7,586,695","0","0","954,755"
"2021100000","2021年度","13114","東京都 中野区","","1,247,278","18,970,869","2,672,254","14,591,936","203,259","807,366","24,886,345","8,789,942","8,282,811","0","0","256,132","1,677,547","1,914,438","0","1,467,923","19,701,936","23,699,299","1,165,214","50,874,241","6,672,527","29,985,004","0","0","1,467,899"
"2021100000","2021年度","13115","東京都 杉並区","","1,478,282","14,441,492","4,690,300","6,491,148","2,081,728","1,212,530","24,438,602","9,611,953","2,695,285","0","255,143","573,871","3,345,691","3,706,305","0","3,249,170","36,987,526","46,169,900","1,300,529","72,117,005","12,059,958","19,778,537","0","0","3,244,709"
"2021100000","2021年度","13116","東京都 豊島区","","1,647,097","16,190,225","4,016,477","9,917,675","693,800","554,178","16,038,265","3,630,743","1,408,690","0","0","944,766","1,908,206","2,060,723","0","3,439,615","23,315,708","27,268,312","1,325,268","43,566,963","8,539,338","14,517,629","0","0","3,439,451"
"2021100000","2021年度","13117","東京都 北区","","3,255,856","12,090,261","2,424,118","6,213,632","286,898","768,970","23,045,707","8,444,475","4,164,454","0","0","267,771","2,893,539","2,357,772","0","3,644,834","24,734,046","31,428,380","1,044,910","57,801,445","9,781,089","14,180,493","0","0","3,641,082"
"2021100000","2021年度","13118","東京都 荒川区","","2,481,815","8,695,615","2,041,162","5,972,116","284,889","879,977","11,472,005","3,829,746","1,541,083","0","0","439,472","1,744,627","1,564,796","0","1,742,194","17,880,916","21,620,319","628,034","37,443,905","7,332,016","11,002,950","0","0","1,742,156"
"2021100000","2021年度","13119","東京都 板橋区","","4,307,313","13,631,223","3,745,786","7,448,871","902,049","399,007","36,688,289","9,440,353","6,645,713","0","85,442","794,834","3,308,700","5,619,262","0","2,736,360","32,084,067","43,543,720","954,058","99,201,215","12,735,764","18,910,244","0","0","2,736,264"
"2021100000","2021年度","13120","東京都 練馬区","","2,593,732","18,461,303","5,658,800","6,874,019","437,363","841,701","36,792,765","13,432,731","6,057,267","0","0","387,547","4,691,097","5,148,556","0","7,311,934","43,889,055","55,885,301","2,598,676","119,155,794","19,521,794","27,929,355","0","0","7,311,641"
"2021100000","2021年度","13121","東京都 足立区","","2,450,165","23,297,715","5,288,529","13,516,261","1,519,753","945,942","63,566,256","22,890,846","9,649,770","0","0","173,253","5,514,897","5,674,500","0","4,892,734","36,696,744","49,870,629","1,477,887","128,903,727","18,447,780","47,873,268","0","0","4,892,685"
"2021100000","2021年度","13122","東京都 葛飾区","","4,989,875","21,147,072","4,563,157","10,883,629","167,857","1,046,501","29,030,361","10,725,424","3,798,383","0","101,367","96,660","2,661,065","4,481,377","0","1,345,603","28,897,662","35,775,245","2,109,518","83,935,811","11,899,876","26,317,998","0","0","1,344,173"
"2021100000","2021年度","13123","東京都 江戸川区","","2,295,054","32,639,877","5,010,552","25,352,145","72,477","2,574,838","43,645,726","20,204,741","7,217,585","0","0","86,386","4,452,185","6,537,687","0","162,041","37,222,673","54,064,216","5,209,627","118,009,225","15,640,742","41,562,740","0","0","162,041"
"2021100000","2021年度","14100","神奈川県 横浜市","","213,200,866","356,094,134","37,961,671","193,687,374","22,312,061","42,547,661","319,517,391","118,714,356","55,700,746","7,360,269","10,578,152","0","26,140,228","31,053,249","0","194,718,493","360,246,247","224,070,838","12,879,923","586,165,340","157,670,320","315,899,623","0","0","194,119,931"
"2021100000","2021年度","14101","神奈川県 横浜市 鶴見区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14102","神奈川県 横浜市 神奈川区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14103","神奈川県 横浜市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14104","神奈川県 横浜市 中区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14105","神奈川県 横浜市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14106","神奈川県 横浜市 保土ケ谷区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14107","神奈川県 横浜市 磯子区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14108","神奈川県 横浜市 金沢区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14109","神奈川県 横浜市 港北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14110","神奈川県 横浜市 戸塚区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14111","神奈川県 横浜市 港南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14112","神奈川県 横浜市 旭区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14113","神奈川県 横浜市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14114","神奈川県 横浜市 瀬谷区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14115","神奈川県 横浜市 栄区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14116","神奈川県 横浜市 泉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14117","神奈川県 横浜市 青葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14118","神奈川県 横浜市 都筑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
