"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D2201","D2209","D320101","D320102","D320108","D320113","D320121","D3203","D320301","D320302","D320303","D3203031","D3203032","D3203033","D3203034","D3203035","D320304","D3203042","D3203043","D3203044","D320305","D3203051","D320306"
"調査年 コード","調査年","地域 コード","地域","/項目","D2201_財政力指数（市町村財政）【‐】","D2209_一般財源（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D3203031_社会福祉費（市町村財政）【千円】","D3203032_老人福祉費（市町村財政）【千円】","D3203033_児童福祉費（市町村財政）【千円】","D3203034_生活保護費（市町村財政）【千円】","D3203035_災害救助費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D3203042_保健衛生費（市町村財政）【千円】","D3203043_保健所費（市町村財政）【千円】","D3203044_清掃費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D3203051_失業対策費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】"
"2021100000","2021年度","13117","東京都 北区","","-","31,904,109","31,140,267","480,577","0","42,840,495","3,757,000","165,089,996","748,426","15,072,207","89,973,493","20,666,371","11,540,703","38,055,168","19,711,071","180","16,390,191","10,838,642","805,486","4,719,382","100,051","0","0"
"2021100000","2021年度","13118","東京都 荒川区","","-","19,049,510","18,562,761","288,796","0","30,016,049","1,140,200","108,027,961","598,022","8,861,915","59,837,896","12,203,263","7,494,201","26,985,833","13,154,389","210","13,325,734","8,342,751","1,672,352","3,284,081","132,788","0","0"
"2021100000","2021年度","13119","東京都 板橋区","","-","49,426,695","48,172,094","822,100","0","72,746,052","3,704,500","247,962,929","851,189","26,881,792","140,242,634","31,283,237","15,728,784","57,069,957","36,152,673","7,983","21,951,931","12,976,921","1,121,621","7,757,650","151,803","0","121,388"
"2021100000","2021年度","13120","東京都 練馬区","","-","71,441,906","69,804,162","1,068,686","0","79,645,053","6,232,000","304,670,606","962,129","23,224,148","178,421,572","37,452,864","21,780,237","85,041,228","34,146,356","887","34,132,030","21,273,624","1,610,122","11,156,552","681,727","0","1,247,565"
"2021100000","2021年度","13121","東京都 足立区","","-","53,457,613","51,669,587","1,071,872","0","101,759,913","188,000","337,980,768","899,812","27,719,298","184,721,296","45,480,695","22,893,860","67,718,143","48,627,911","687","29,122,070","18,747,042","2,482,560","7,812,513","272,954","0","92,526"
"2021100000","2021年度","13122","東京都 葛飾区","","-","36,374,504","35,201,117","715,921","0","60,074,901","0","221,692,274","745,665","25,285,064","119,062,157","26,877,984","14,048,053","50,693,377","27,442,743","0","17,956,205","9,575,879","1,574,164","6,731,848","497,221","0","45,677"
"2021100000","2021年度","13123","東京都 江戸川区","","-","58,243,928","56,493,352","1,085,073","0","97,168,893","1,900","326,853,793","833,748","50,171,557","165,407,353","34,277,055","17,825,984","73,715,934","39,587,442","938","28,770,739","16,427,904","2,176,544","9,981,658","201,225","0","151,635"
"2021100000","2021年度","14100","神奈川県 横浜市","","0.96","908,841,315","838,901,732","8,329,739","52,092,786","484,137,620","168,264,820","2,202,642,428","2,949,211","115,881,247","767,666,926","187,472,186","108,493,388","333,430,705","138,143,952","126,695","172,345,354","126,154,960","6,559,063","39,350,486","1,780,886","0","1,758,152"
"2021100000","2021年度","14101","神奈川県 横浜市 鶴見区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14102","神奈川県 横浜市 神奈川区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
