"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","C620101","C620105","C620106","C620107","C620108","C620109","C620110","C620111","C620114","C620115","C620116","C620117","C620118","C620119","C620120","C620121","C620122"
"調査年 コード","調査年","地域 コード","地域","/項目","C620101_純付加価値額（民営）（農林漁業）【百万円】","C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）【百万円】","C620106_純付加価値額（民営）（建設業）【百万円】","C620107_純付加価値額（民営）（製造業）【百万円】","C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）【百万円】","C620109_純付加価値額（民営）（情報通信業）【百万円】","C620110_純付加価値額（民営）（運輸業、郵便業）【百万円】","C620111_純付加価値額（民営）（卸売業、小売業）【百万円】","C620114_純付加価値額（民営）（金融業、保険業）【百万円】","C620115_純付加価値額（民営）（不動産業、物品賃貸業）【百万円】","C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）【百万円】","C620117_純付加価値額（民営）（宿泊業、飲食サービス業）【百万円】","C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）【百万円】","C620119_純付加価値額（民営）（教育、学習支援業）【百万円】","C620120_純付加価値額（民営）（医療、福祉）【百万円】","C620121_純付加価値額（民営）（複合サービス事業）【百万円】","C620122_純付加価値額（民営）（サービス業（他に分類されないもの））【百万円】"
"2020100000","2020年度","13112","東京都 世田谷区","","968","X","88,326","25,165","X","-39,152","47,906","190,503","45,133","73,726","53,817","40,567","30,279","104,859","129,797","X","75,262"
"2020100000","2020年度","13113","東京都 渋谷区","","-32","0","165,772","125,897","5,010","764,063","42,998","708,084","200,641","438,344","400,787","59,900","74,914","81,174","127,548","1,618","358,356"
"2020100000","2020年度","13114","東京都 中野区","","X","0","52,715","24,057","X","77,804","13,054","128,161","54,367","37,865","133,155","14,666","11,674","25,486","115,906","4,272","57,667"
"2020100000","2020年度","13115","東京都 杉並区","","112","0","54,468","14,114","X","48,604","26,553","120,952","27,519","42,513","26,401","23,946","16,621","32,354","115,446","X","43,777"
"2020100000","2020年度","13116","東京都 豊島区","","43","0","91,543","57,727","X","183,568","15,271","234,370","303,396","91,757","125,450","33,548","21,954","93,597","72,232","X","172,250"
"2020100000","2020年度","13117","東京都 北区","","216","0","59,363","69,679","X","21,850","22,981","150,660","22,850","26,451","43,534","16,192","20,975","20,558","74,856","X","23,056"
"2020100000","2020年度","13118","東京都 荒川区","","X","0","33,779","40,444","X","9,264","18,978","82,095","6,967","16,319","24,706","8,840","7,749","8,412","46,860","X","19,743"
"2020100000","2020年度","13119","東京都 板橋区","","109","0","66,140","122,436","X","14,727","49,121","166,044","21,192","32,392","17,751","21,766","16,772","39,740","188,453","X","40,229"
"2020100000","2020年度","13120","東京都 練馬区","","500","0","90,140","23,806","8,318","32,405","35,137","142,870","27,123","38,184","21,357","25,583","18,672","30,826","132,631","7,241","31,374"
"2020100000","2020年度","13121","東京都 足立区","","604","0","105,159","86,025","1,856","8,494","73,523","186,974","26,776","42,467","17,616","28,395","16,190","25,884","155,725","10,225","77,334"
"2020100000","2020年度","13122","東京都 葛飾区","","211","X","57,268","62,598","X","2,488","31,543","105,354","22,251","28,456","17,969","16,467","12,275","14,300","99,687","2,933","32,852"
"2020100000","2020年度","13123","東京都 江戸川区","","441","0","104,684","78,150","1,207","19,512","66,795","160,272","23,011","58,087","24,083","24,814","24,068","25,998","195,200","5,689","47,573"
"2020100000","2020年度","14100","神奈川県 横浜市","","4,067","0","651,642","774,994","62,269","654,901","649,578","1,452,051","378,448","528,783","899,050","182,412","141,285","224,514","953,426","28,930","574,783"
"2020100000","2020年度","14101","神奈川県 横浜市 鶴見区","","449","0","75,845","126,390","X","13,015","72,814","84,399","8,742","24,593","81,858","9,716","12,155","11,365","58,949","X","35,350"
"2020100000","2020年度","14102","神奈川県 横浜市 神奈川区","","273","0","58,267","50,374","X","81,849","39,770","132,770","24,256","33,074","43,417","9,614","7,285","22,983","52,910","X","76,030"
"2020100000","2020年度","14103","神奈川県 横浜市 西区","","58","0","68,518","38,438","X","291,060","257,853","230,932","117,842","131,228","214,351","27,083","17,432","10,802","74,182","X","160,300"
"2020100000","2020年度","14104","神奈川県 横浜市 中区","","98","0","107,711","28,061","12,922","63,044","98,840","173,149","85,580","164,673","198,743","28,657","23,702","16,035","61,099","1,667","85,385"
"2020100000","2020年度","14105","神奈川県 横浜市 南区","","X","0","24,003","5,005","X","1,243","5,470","27,381","3,203","5,648","7,334","7,415","3,523","4,762","50,290","X","9,964"
"2020100000","2020年度","14106","神奈川県 横浜市 保土ケ谷区","","28","0","21,777","21,658","X","9,473","8,866","40,783","28,347","5,731","13,205","4,473","7,827","12,372","47,956","X","9,330"
"2020100000","2020年度","14107","神奈川県 横浜市 磯子区","","100","0","27,528","64,573","X","7,624","13,348","31,213","X","6,584","23,667","4,027","3,977","3,484","31,976","2,095","10,067"
"2020100000","2020年度","14108","神奈川県 横浜市 金沢区","","X","0","15,944","102,229","X","665","35,732","51,367","5,272","12,173","19,820","10,315","6,400","21,017","63,271","1,253","20,573"
"2020100000","2020年度","14109","神奈川県 横浜市 港北区","","357","0","54,461","104,398","267","79,929","18,235","200,704","23,255","40,924","79,435","13,366","12,934","29,629","68,862","3,332","48,420"
"2020100000","2020年度","14110","神奈川県 横浜市 戸塚区","","236","0","38,691","56,298","X","67,051","15,786","69,478","11,439","15,790","43,186","8,394","6,802","18,689","66,298","X","22,402"
