"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","14115","神奈川県 横浜市 栄区","","***","***","***","1,852","1,507","0","***","***","***","***","***","***","***","***","***","81.4"
"2023100000","2023年度","14116","神奈川県 横浜市 泉区","","***","***","***","2,358","2,187","0","***","***","***","***","***","***","***","***","***","92.7"
"2023100000","2023年度","14117","神奈川県 横浜市 青葉区","","***","***","***","3,522","3,278","0","***","***","***","***","***","***","***","***","***","93.1"
"2023100000","2023年度","14118","神奈川県 横浜市 都筑区","","***","***","***","2,787","2,629","0","***","***","***","***","***","***","***","***","***","94.3"
"2023100000","2023年度","14130","神奈川県 川崎市","","***","***","***","14,296","13,523","0","***","***","***","***","***","***","***","***","***","94.6"
"2023100000","2023年度","14131","神奈川県 川崎市 川崎区","","***","***","***","3,949","3,949","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","14132","神奈川県 川崎市 幸区","","***","***","***","1,001","1,001","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","14133","神奈川県 川崎市 中原区","","***","***","***","1,474","1,468","0","***","***","***","***","***","***","***","***","***","99.6"
"2023100000","2023年度","14134","神奈川県 川崎市 高津区","","***","***","***","1,636","1,535","0","***","***","***","***","***","***","***","***","***","93.8"
"2023100000","2023年度","14135","神奈川県 川崎市 多摩区","","***","***","***","2,050","1,870","0","***","***","***","***","***","***","***","***","***","91.2"
"2023100000","2023年度","14136","神奈川県 川崎市 宮前区","","***","***","***","1,861","1,740","0","***","***","***","***","***","***","***","***","***","93.5"
"2023100000","2023年度","14137","神奈川県 川崎市 麻生区","","***","***","***","2,325","1,960","0","***","***","***","***","***","***","***","***","***","84.3"
"2023100000","2023年度","14150","神奈川県 相模原市","","***","***","***","32,891","14,097","0","***","***","***","***","***","***","***","***","***","42.9"
"2023100000","2023年度","14151","神奈川県 相模原市 緑区","","***","***","***","25,393","6,931","0","***","***","***","***","***","***","***","***","***","27.3"
"2023100000","2023年度","14152","神奈川県 相模原市 中央区","","***","***","***","3,687","3,603","0","***","***","***","***","***","***","***","***","***","97.7"
"2023100000","2023年度","14153","神奈川県 相模原市 南区","","***","***","***","3,811","3,563","0","***","***","***","***","***","***","***","***","***","93.5"
"2023100000","2023年度","15100","新潟県 新潟市","","***","***","***","72,619","67,048","137","***","***","***","***","***","***","***","***","***","92.3"
"2023100000","2023年度","15101","新潟県 新潟市 北区","","***","***","***","10,761","10,478","0","***","***","***","***","***","***","***","***","***","97.4"
"2023100000","2023年度","15102","新潟県 新潟市 東区","","***","***","***","3,863","3,858","0","***","***","***","***","***","***","***","***","***","99.9"
"2023100000","2023年度","15103","新潟県 新潟市 中央区","","***","***","***","3,778","3,589","137","***","***","***","***","***","***","***","***","***","95.0"
"2023100000","2023年度","15104","新潟県 新潟市 江南区","","***","***","***","7,542","7,542","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","15105","新潟県 新潟市 秋葉区","","***","***","***","9,538","8,065","0","***","***","***","***","***","***","***","***","***","84.6"
"2023100000","2023年度","15106","新潟県 新潟市 南区","","***","***","***","10,091","10,091","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","15107","新潟県 新潟市 西区","","***","***","***","9,388","9,063","0","***","***","***","***","***","***","***","***","***","96.5"
